,author,description,genre,title
0,Tom Rachman,"Rome, 1955The artists are gathering together for a photograph. In one of Rome's historic villas, a party is bright with near-genius, shaded by the socialite patrons of their art. Bear Bavinsky, creator of vast, masculine, meaty canvases, is their god. Larger than life, muscular in both figure and opinion, he blazes at art criticism and burns half his paintings. He is at the centre of the picture. His wife, Natalie, edges out of the shot.From the side of the room watches little Pinch - their son. At five years old he loves Bear almost as much as he fears him. After Bear abandons their family, Pinch will still worship him, striving to live up to the Bavinsky name; while Natalie, a ceramicist, cannot hope to be more than a forgotten muse. Trying to burn brightly under his father's shadow - one of the twentieth century's fiercest and most controversial painters - Pinch's attempts flicker and die. Yet by the end of a career of twists and compromises, Pinch will enact an unexpected rebellion that will leave forever his mark upon the Bear Bavinsky legacy.What makes an artist? In The Italian Teacher, Tom Rachman displays a nuanced understanding of twentieth-century art and its demons, vultures and chimeras. Moreover, in Pinch he achieves a portrait of painful vulnerability and realism: talent made irrelevant by personality. Stripped of egotism, authenticity or genius, Pinch forces us to face the deep held fear of a life lived in vain.",Fiction,      The Italian Teacher
1,Mackenzi Lee,"Based on Mackenzi Lee’s popular weekly Twitter series of the same name, Bygone Badass Broads features 52 remarkable and forgotten trailblazing women from all over the world. With tales of heroism and cunning, in-depth bios and witty storytelling, Bygone Badass Broads gives new life to these historic female pioneers. Starting in the fifth century BC and continuing to the present, the book takes a closer look at bold and inspiring women who dared to step outside the traditional gender roles of their time. Coupled with riveting illustrations and Lee’s humorous and conversational storytelling style, this book is an outright celebration of the badass women who paved the way for the rest of us.",Nonfiction,      Bygone Badass Broads: 52 Forgotten Women Who Changed the World
2,Rachel  Lyon,"A compulsively readable and electrifying debut about an ambitious young female artist who accidentally photographs a boy falling to his death—an image that could jumpstart her career, but would also devastate her most intimate friendship.Lu Rile is a relentlessly focused young photographer struggling to make ends meet. Working three jobs, responsible for her aging father, and worrying that the crumbling warehouse she lives in is being sold to developers, she is at a point of desperation. One day, in the background of a self-portrait, Lu accidentally captures on film a boy falling past her window to his death. The photograph turns out to be startlingly gorgeous, the best work of art she’s ever made. It’s an image that could change her life…if she lets it. But the decision to show the photograph is not easy. The boy is her neighbors’ son, and the tragedy brings all the building’s residents together. It especially unites Lu with his beautiful grieving mother, Kate. As the two forge an intense bond based on sympathy, loneliness, and budding attraction, Lu feels increasingly unsettled and guilty, torn between equally fierce desires: to use the photograph to advance her career, and to protect a woman she has come to love. Set in early 90s Brooklyn on the brink of gentrification, Self-Portrait with Boy is a provocative commentary about the emotional dues that must be paid on the road to success, a powerful exploration of the complex terrain of female friendship, and a brilliant debut from novelist Rachel Lyon.",Fiction,      Self-Portrait with Boy
3,Isaac Butler,"The oral history of Angels in America, told by artists who created it and audiences forever changed by it-a moving account of the AIDS era, essential queer history, and an exuberant backstage taleWhen Tony Kushner's Angels in America hit Broadway in 1993, it won the Pulitzer Prize, swept the Tonys, and changed the way gay lives were represented in popular culture. Mike Nichols' 2003 HBO adaptation starring Meryl Streep, Mary-Louise Parker, and Al Pacino was itself a tour de force, winning 11 Emmys and introducing the play to an even wider public. This generation-defining classic continues to shock, move, and inspire viewers worldwide.Now, on the 25th anniversary of that Broadway premiere, Isaac Butler and Dan Kois offer the definitive account of Angels in America in the most fitting way possible: through oral history, nearly 200 voices in vibrant conversation and debate. The intimate storytelling of actors (including Streep, Parker, Jeffrey Wright, and Nathan Lane), directors, producers, and Kushner himself reveals the turmoil of the play's birth-a hard-won miracle in the face of artistic roadblocks, technical disasters, and disputes both legal and creative. And historians and critics help to situate the play in the arc of American culture, from the staunch activism of the AIDS crisis through civil-rights triumphs to our current era, whose politics are a dark echo of the Reagan '80s. The World Only Spins Forward is both a rollicking theater saga and an uplifting testament to one of the great works of American art of the past century, from its gritty San Francisco premiere to the starry revival that electrified London in 2017.",Nonfiction,      The World Only Spins Forward: The Ascent of Angels in America
4,E.  Latimer,"
A Tim Burtonesque retelling of The Picture of Dorian Gray aimed at Middle Graders.
The most peculiar things always happen to Bryony Gray. As if it isn’t bad enough that her uncle keeps her locked in the attic, forcing her to paint for hisrich clients, she’s becoming rather well known in the art world… since all her customers seem to go missing.When her newest painting escapes the canvas and rampages through the streets of London, Bryony digs into her family history, discovering some rather scandalous secrets her uncle has been keeping, including a deadly curse she’s inherited from her missing father. It turns out, Bryony has accidentally unleashed the Gray family curse, and it’s spreading fast.With a little help from the strange-but-beautiful girl next door and her paranoid brother, Bryony sets out to break the curse, dodging bloodthirsty paintings, angry mobs and her wicked uncle along the way.",Childrens,      The Strange And Deadly Portraits Of Bryony Gray
5,Marianna Coppo,"One of the best things about childhood is being able to imagine you are anything you want to be. Petra is a rock who has a wonderful imagination. She also makes the best of whatever situation she is in. The illustrations are wonderful in this story and considering she is a rock, her facial expressions are fantastic. A great little story to read and talk about being whatever you want to be. A nice addition to a school, classroom or family library. The publisher generously provided me with a copy of this book via Netgalley.",Childrens,      Petra
6,Sarah B. Pomeroy,"In 1660, at the age of thirteen, Maria Sibylla Merian (1647-1717) began her study of butterfly metamorphosis—years before any other scientist published an accurate description of the process. Later, Merian and her daughter ventured thousands of miles from their home in the Netherlands to the rainforests of South America seeking new and amazing insects to observe and illustrate.     Years after her death, Merian’s accurate and beautiful illustrations were used by scientists, including Carl Linnaeus, to classify species, and today her prints and paintings are prized by museums around the world. More than a dozen species of plants and animals are named after Merian.     The first Merian biography written for ages 10 and up, this book will enchant budding scientists and artists alike. Readers will be inspired by Merian’s talent, curiosity, and grit and will be swept up in the story of her life, which was adventurous even by today’s standards.     With its lively text, quotations from Merian’s own study book, and fascinating sidebars on history, art, and science, this volume is an ideal STEAM title for readers of all ages and interests.",Biography,"      Maria Sibylla Merian: Artist, Scientist, Adventurer"
7,Catherine  Hewitt,"Catherine Hewitt's richly told biography of Suzanne Valadon, the illegitimate daughter of a provincial linen maid who became famous as a model for the Impressionists and later as a painter in her own right.In the 1880s, Suzanne Valadon was considered the Impressionists’ most beautiful model. But behind her captivating façade lay a closely-guarded secret.Suzanne was born into poverty in rural France, before her mother fled the provinces, taking her to Montmartre. There, as a teenager Suzanne began posing for—and having affairs with—some of the age’s most renowned painters. Then Renoir caught her indulging in a passion she had been trying to conceal: the model was herself a talented artist.Some found her vibrant still lifes and frank portraits as shocking as her bohemian lifestyle. At eighteen, she gave birth to an illegitimate child, future painter Maurice Utrillo. But her friends Toulouse-Lautrec and Degas could see her skill. Rebellious and opinionated, she refused to be confined by tradition or gender, and in 1894, her work was accepted to the Salon de la Société Nationale des Beaux-Arts, an extraordinary achievement for a working-class woman with no formal art training.Renoir’s Dancer tells the remarkable tale of an ambitious, headstrong woman fighting to find a professional voice in a male-dominated world.",Biography,      Renoir's Dancer: The Secret Life of Suzanne Valadon
8,Agnès Poirier,"An incandescent group portrait of the midcentury artists and thinkers whose lives, loves, collaborations, and passions were forged against the wartime destruction and postwar rebirth of ParisIn this fascinating tour of a celebrated city during one of its most trying, significant, and ultimately triumphant eras, Agnes Poirier unspools the stories of the poets, writers, painters, and philosophers whose lives collided to extraordinary effect between 1940 and 1950. She gives us the human drama behind some of the most celebrated works of the 20th century, from Richard Wright’s Native Son, Simone de Beauvoir's The Second Sex, and James Baldwin's Giovanni's Room to Samuel Beckett's Waiting for Godot and Saul Bellow's Augie March, along with the origin stories of now legendary movements, from Existentialism to the Theatre of the Absurd, New Journalism, bebop, and French feminism.We follow Arthur Koestler and Norman Mailer as young men, peek inside Picasso’s studio, and trail the twists of Camus's Sartre's, and Beauvoir’s epic love stories. We witness the births and deaths of newspapers and literary journals and peer through keyholes to see the first kisses and last nights of many ill-advised bedfellows. At every turn, Poirier deftly hones in on the most compelling and colorful history, without undermining the crucial significance of the era. She brings to life the flawed, visionary Parisians who fell in love and out of it, who infuriated and inspired one another, all while reconfiguring the world's political, intellectual, and creative landscapes. With its balance of clear-eyed historical narrative and irresistible anecdotal charm, Left Bank transports readers to a Paris teeming with passion, drama, and life.",History,"      Left Bank: Art, Passion, and the Rebirth of Paris, 1940-50"
9,Sofia Samatar,"Relentlessly original and brilliantly hybrid, Monster Portraits investigates the concept of the monstrous through a mesmerizing combination of words and images. An uncanny autobiography of otherness, it offers the record of a writer in the realms of the fantastic shot through with the memories of a pair of mixed-race children growing up Somali-American in the 1980s. Operating under the sign of two—texts and drawings, brother and sister, black and white, extraordinary and everyday—Monster Portraits multiplies, disintegrates, and blends, inviting the reader to find the danger in the banal, the beautiful in the grotesque. Accumulating into a breathless journey and groundbreaking study, these brief notes and sketches claim the monster as a fragmentary vastness: not the sum but the derangement of its parts.Del Samatar's drawings conjure beings who drag worlds in their wake. World Fantasy Award-winning author Sofia Samatar responds with allusive, critical, and ecstatic meditations. Together they have created a secret history of the multi-racial child, a guide to the beasts of an unknown mythos, and a dreamer's iconography. Monster Portraits resonates in a world obsessed with the Other, using captivating nomenclature, art, fiction, and essay to examine society’s damaging desire to define and divide. The monstrous never looked so simultaneously haunting and familiar.",Fantasy,      Monster Portraits
