,description,genre
0,"[rome, artists, gathering, together, photograph, one, rome, historic, villas, party, bright, shaded, socialite, patrons, art, bear, bavinsky, creator, vast, masculine, meaty, canvases, god, larger, life, muscular, figure, opinion, blazes, art, criticism, burns, half, paintings, centre, picture, wife, natalie, edges, side, room, watches, little, pinch, son, five, years, old, loves, bear, almost, much, fears, bear, abandons, family, pinch, still, worship, striving, live, bavinsky, name, natalie, ceramicist, hope, forgotten, muse, trying, burn, brightly, father, shadow, one, twentieth, century, fiercest, controversial, painters, pinch, attempts, flicker, die, yet, end, career, twists, compromises, pinch, enact, unexpected, rebellion, leave, forever, mark, upon, bear, bavinsky, makes, artist, ...]",Fiction
1,"[based, mackenzi, lee, popular, weekly, twitter, series, name, bygone, badass, broads, features, remarkable, forgotten, trailblazing, women, world, tales, heroism, cunning, bios, witty, storytelling, bygone, badass, broads, gives, new, life, historic, female, pioneers, starting, fifth, century, bc, continuing, present, book, takes, closer, look, bold, inspiring, women, dared, step, outside, traditional, gender, roles, time, coupled, riveting, illustrations, lee, humorous, conversational, storytelling, style, book, outright, celebration, badass, women, paved, way, rest, us]", Non fiction
2,"[compulsively, readable, electrifying, debut, ambitious, young, female, artist, accidentally, photographs, boy, falling, image, could, jumpstart, career, would, also, devastate, intimate, rile, relentlessly, focused, young, photographer, struggling, make, ends, meet, working, three, jobs, responsible, aging, father, worrying, crumbling, warehouse, lives, sold, developers, point, desperation, one, day, background, lu, accidentally, captures, film, boy, falling, past, window, death, photograph, turns, startlingly, gorgeous, best, work, art, ever, made, image, could, change, lets, decision, show, photograph, easy, boy, neighbors, son, tragedy, brings, building, residents, together, especially, unites, lu, beautiful, grieving, mother, kate, two, forge, intense, bond, based, sympathy, loneliness, budding, attraction, lu, feels, increasingly, unsettled, ...]",Fiction
3,"[oral, history, angels, america, told, artists, created, audiences, forever, changed, moving, account, aids, era, essential, queer, history, exuberant, backstage, talewhen, tony, kushner, angels, america, hit, broadway, pulitzer, prize, swept, tonys, changed, way, gay, lives, represented, popular, culture, mike, nichols, hbo, adaptation, starring, meryl, streep, parker, al, pacino, tour, de, force, winning, emmys, introducing, play, even, wider, public, classic, continues, shock, move, inspire, viewers, anniversary, broadway, premiere, isaac, butler, dan, kois, offer, definitive, account, angels, america, fitting, way, possible, oral, history, nearly, voices, vibrant, conversation, debate, intimate, storytelling, actors, including, streep, parker, jeffrey, wright, nathan, lane, directors, producers, kushner, reveals, turmoil, ...]", Non fiction
4,"[tim, burtonesque, retelling, picture, dorian, gray, aimed, middle, graders, peculiar, things, always, happen, bryony, gray, bad, enough, uncle, keeps, locked, attic, forcing, paint, hisrich, clients, becoming, rather, well, known, art, since, customers, seem, go, newest, painting, escapes, canvas, rampages, streets, london, bryony, digs, family, history, discovering, rather, scandalous, secrets, uncle, keeping, including, deadly, curse, inherited, missing, father, turns, bryony, accidentally, unleashed, gray, family, curse, spreading, little, help, girl, next, door, paranoid, brother, bryony, sets, break, curse, dodging, bloodthirsty, paintings, angry, mobs, wicked, uncle, along, way]",Children
5,"[one, best, things, childhood, able, imagine, anything, want, petra, rock, wonderful, imagination, also, makes, best, whatever, situation, illustrations, wonderful, story, considering, rock, facial, expressions, fantastic, great, little, story, read, talk, whatever, want, nice, addition, school, classroom, family, library, publisher, generously, provided, copy, book, via, netgalley]",Children
6,"[age, thirteen, maria, sibylla, merian, began, study, butterfly, scientist, published, accurate, description, process, later, merian, daughter, ventured, thousands, miles, home, netherlands, rainforests, south, america, seeking, new, amazing, insects, observe, illustrate, years, death, merian, accurate, beautiful, illustrations, used, scientists, including, carl, linnaeus, classify, species, today, prints, paintings, prized, museums, around, world, dozen, species, plants, animals, named, merian, first, merian, biography, written, ages, book, enchant, budding, scientists, artists, alike, readers, inspired, merian, talent, curiosity, grit, swept, story, life, adventurous, even, today, standards, lively, text, quotations, merian, study, book, fascinating, sidebars, history, art, science, volume, ideal, steam, title, readers, ages, interests]", Non fiction
7,"[catherine, hewitt, richly, told, biography, suzanne, valadon, illegitimate, daughter, provincial, linen, maid, became, famous, model, impressionists, later, painter, suzanne, valadon, considered, impressionists, beautiful, model, behind, captivating, façade, lay, born, poverty, rural, france, mother, fled, provinces, taking, montmartre, teenager, suzanne, began, posing, affairs, age, renowned, painters, renoir, caught, indulging, passion, trying, conceal, model, talented, found, vibrant, still, lifes, frank, portraits, shocking, bohemian, lifestyle, eighteen, gave, birth, illegitimate, child, future, painter, maurice, utrillo, friends, degas, could, see, skill, rebellious, opinionated, refused, confined, tradition, gender, work, accepted, salon, de, la, société, nationale, des, extraordinary, achievement, woman, formal, art, dancer, tells, remarkable, tale, ambitious, ...]", Non fiction
8,"[incandescent, group, portrait, midcentury, artists, thinkers, whose, lives, loves, collaborations, passions, forged, wartime, destruction, postwar, rebirth, parisin, fascinating, tour, celebrated, city, one, trying, significant, ultimately, triumphant, eras, agnes, poirier, unspools, stories, poets, writers, painters, philosophers, whose, lives, collided, extraordinary, effect, gives, us, human, drama, behind, celebrated, works, century, richard, wright, native, son, simone, de, beauvoir, second, sex, james, baldwin, giovanni, room, samuel, beckett, waiting, godot, saul, bellow, augie, march, along, origin, stories, legendary, movements, existentialism, theatre, absurd, new, journalism, bebop, french, follow, arthur, koestler, norman, mailer, young, men, peek, inside, picasso, studio, trail, twists, camus, sartre, beauvoir, epic, love, stories, ...]", Non fiction
9,"[relentlessly, original, brilliantly, hybrid, monster, portraits, investigates, concept, monstrous, mesmerizing, combination, words, images, uncanny, autobiography, otherness, offers, record, writer, realms, fantastic, shot, memories, pair, children, growing, operating, sign, drawings, brother, sister, black, white, extraordinary, portraits, multiplies, disintegrates, blends, inviting, reader, find, danger, banal, beautiful, grotesque, accumulating, breathless, journey, groundbreaking, study, brief, notes, sketches, claim, monster, fragmentary, vastness, sum, derangement, samatar, drawings, conjure, beings, drag, worlds, wake, world, fantasy, author, sofia, samatar, responds, allusive, critical, ecstatic, meditations, together, created, secret, history, child, guide, beasts, unknown, mythos, dreamer, iconography, monster, portraits, resonates, world, obsessed, using, captivating, nomenclature, art, fiction, essay, examine, society, ...]",Fantasy
