,author,description,genre,title
0,Terese Marie Mailhot,"A NEW YORK TIMES BESTSELLERSelected by Emma Watson as the Our Shared Shelf Book Club Pick for March/April 2018 ""Heart Berries by Terese Mailhot is an astounding memoir in essays. Here is a wound. Here is need, naked and unapologetic. Here is a mountain woman, towering in words great and small... What Mailhot has accomplished in this exquisite book is brilliance both raw an",Autobiography,"
      Heart Berries: A Memoir
"
1,Mackenzi Lee,"Based on Mackenzi Lee’s popular weekly Twitter series of the same name, Bygone Badass Broads features 52 remarkable and forgotten trailblazing women from all over the world. With tales of heroism and cunning, in-depth bios and witty storytelling, Bygone Badass Broads gives new life to these historic female pioneers. Starting in the fifth century BC and continuing to the pr",Nonfiction,"
      Bygone Badass Broads: 52 Forgotten Women Who Changed the World
"
2,Andrew Morton,"For fans of the Netflix series The Crown and from the author of the New York Times bestseller 17 Carnations comes a captivating biography of Wallis Simpson, the notorious woman for whom Edward VIII gave up the throne. ""You have no idea how hard it is to live out a great romance."" -Wallis SimpsonBefore she became known as the woman who enticed a king from his throne and bir",Biography,"
      Wallis in Love: The Untold Life of the Duchess of Windsor, the Woman Who Changed the Monarchy
"
3,Laura Smith,"A young woman chafing at the confines of marriage confronts the high cost of craving freedom and adventureAt twenty-five, as her wedding date approached, Laura Smith began to feel trapped. Not by her fiance, who shared her appetite for adventure, but by the unsettling idea that it was hard to be at once married and free.Laura wanted her life to be different. She wanted her",Autobiography,"
      The Art of Vanishing: A Memoir of Wanderlust
"
4,Daniel Stone,"The true adventures of David Fairchild, a late-nineteenth-century food explorer who traveled the globe and introduced diverse crops like avocados, mangoes, seedless grapes--and thousands more--to the American plate.In the nineteenth century, American meals were about subsistence, not enjoyment. But as a new century approached, appetites broadened, and David Fairchild, a yo",History,"
      The Food Explorer: The True Adventures of the Globe-Trotting Botanist Who Transformed What America Eats
"
5,Matt Young,"Eat the Apple is a twisted, and darkly hilarious story of American youth and masculinity in an age of continuous war. Matt Young joined the Marine Corps at age eighteen after a drunken night culminating in wrapping his car around a fire hydrant. The teenage wasteland he fled followed him to the training bases charged with making him a Marine. Matt survived the training and",Autobiography,"
      Eat the Apple
"
6,Sara Saedi,"At thirteen, bright-eyed, straight-A student Sara Saedi uncovered a terrible family secret: she was breaking the law simply by living in the United States. Only two years old when her parents fled Iran, she didn’t learn of her undocumented status until her older sister wanted to apply for an after-school job, but couldn’t because she didn’t have a Social Security number.Fe",Nonfiction,"
      Americanized: Rebel Without a Green Card
"
7,Joel Richard Paul,"The remarkable story of John Marshall who, as chief justice, statesman, and diplomat, shaped the foundation of the United States.No member of America's Founding Generation had a greater impact on the Constitution and the Supreme Court than John Marshall, and no one did more to preserve the delicate unity of the fledgling United States. From the nation's founding in 1776 an",History,"
      Without Precedent: Chief Justice John Marshall and His Times
"
8,John Heminway,"The remarkable story of one woman's search for a new life in Africa in the wake of World War II--a life that sparked a heroic career, but also hid a secret past.Dr. Anne Spoerry treated hundreds of thousands of people across rural Kenya over the span of fifty years. A member of the renowned Flying Doctors Service, the French-born Spoerry learned how to fly a plane at the a",Nonfiction,"
      In Full Flight: A Story of Africa and Atonement
"
9,Sarah B. Pomeroy,"In 1660, at the age of thirteen, Maria Sibylla Merian (1647-1717) began her study of butterfly metamorphosis—years before any other scientist published an accurate description of the process. Later, Merian and her daughter ventured thousands of miles from their home in the Netherlands to the rainforests of South America seeking new and amazing insects to observe and illust",Biography,"
      Maria Sibylla Merian: Artist, Scientist, Adventurer
"
10,Changiz Lahidji,"Over 100 combat missions, 24 years as a Green Beret―Full Battle Rattle tells the legend of a soldier who served America in every war since Vietnam.Master Sergeant Changiz Lahidji served on Special Forces A teams longer than anyone in history, completing over a hundred combat missions in Afghanistan. Changiz is a Special Forces legend. He also happens to be the first Muslim",Nonfiction,"
      Full Battle Rattle: My Story as the Longest-Serving Special Forces A-Team Soldier in American History
"
11,Catherine  Hewitt,"Catherine Hewitt's richly told biography of Suzanne Valadon, the illegitimate daughter of a provincial linen maid who became famous as a model for the Impressionists and later as a painter in her own right.In the 1880s, Suzanne Valadon was considered the Impressionists’ most beautiful model. But behind her captivating façade lay a closely-guarded secret.Suzanne was born in",Biography,"
      Renoir's Dancer: The Secret Life of Suzanne Valadon
"
12,Charlotte Jones Voiklis,"This middle-grade biography explores the life and works of Madeleine L'Engle --written by her granddaughters--coming just in time for the all-new A Wrinkle in Time film, directed by Ava DuVernay.This elegant and insightful biography of Madeleine L'Engle (1918-2007) was written by her granddaughters, Charlotte Jones Voiklis and Lena Roy. Using never-before-seen archival mat",Biography,"
      Becoming Madeleine: A Biography of the Author of a Wrinkle in Time by Her Granddaughters
"
13,Kyo Maclear,"A dazzling picture book biography of one of the world's most influential designers, Elsa Schiaparelli. Elsa dared to be different, and her story will not only dazzle, it will inspire the artist and fashionista in everyone who reads it. By the 1930s Elsa Schiaparelli had captivated the fashion world in Paris, but before that, she was a little girl in Rome who didn’t feel pr",Childrens,"
      Bloom: A Story of Fashion Designer Elsa Schiaparelli
"
14,Annette Bay Pimentel,"The inspiring story of the first female to run the Boston Marathon comes to life in stunningly vivid collage illustrations.Because Bobbi Gibb is a girl, she's not allowed to run on her school's track team. But after school, no one can stop her--and she's free to run endless miles to her heart's content. She is told no yet again when she tries to enter the Boston Marathon i",Biography,"
      Girl Running: Bobbi Gibb and the Boston Marathon
"
15,Ki Longfellow,"Twenty three years ago Vivian Stanshall died in a fire, trapped in a north London flat. Drunk, he slept through his own death.Vivian was the ineffable, unflappable, elegant and irreverently funny frontman and songwriter for the Bonzo Dog Dada Band, a group of art students who’d created a band unlike any other band one could name - and still adored by thousands long after t",Autobiography,"
      The Illustrated Vivian Stanshall: A Fairytale of Grimm Art
"
16,Barry Wittenstein," Barry Wittenstein clearly has a great sense of humor, because during the telling of this interesting story, he's made me laugh quite a lot. Certainly, I did not laugh when he began after Earle Dickson married his sweetheart, Josephine, and discovered that she had lots of small accidents, like tiny cuts when preparing dinner. And sad to say, all she had to stop the bleeding was a kitchen rag. Barry's father was a doctor so he knew all about infections, and Barry worked for a company that made ho",Childrens,"
      The Boo-Boos That Changed the World: A True Story about an Accidental Invention (Really!)
"
17,Barb Rosenstock,"The incredible story of the world's largest visionary environment: the Rock Garden of Chandigarh, kept secret by outsider artist Nek Chand for fifteen years.After the partition of India in 1947, Nek Chand Saini settled in the city of Chandigarh, with nothing but stories brought from his homeland. Dismayed at his stark new surroundings, Nek began collecting river rocks, bro",Childrens,"
      The Secret Kingdom: Nek Chand, a Changing India, and a Hidden World of Art
"
18,Bill Kimberlin,"Bill Kimberlin may refer to himself as ""one of those names on the endless list of credits at the close of blockbuster movies."" In reality though, he's a true insider on some of the most celebrated and popular movies and franchises of the past century. Jurassic Park. Star Trek. Jumanji. Schindler's List. Saving Private Ryan. Even Forrest Gump. And perhaps most notably, Star",Media Tie In,"
      Inside the Star Wars Empire: A Memoir
"
19,Dave Eggers,"From the best-selling author of The Circle, the true story of a young Yemeni-American man, raised in San Francisco, who dreams of resurrecting the ancient art of Yemeni coffee but finds himself trapped in Sana'a by civil war--and his riveting tale of escape.Mokhtar Alkhanshali grew up in San Francisco, one of seven siblings brought up by Yemeni immigrants in a tiny apartme",Nonfiction,"
      The Monk of Mokha
"
20,Patrisse Khan-Cullors,"A poetic and powerful memoir about what it means to be a Black woman in America—and the co-founding of a movement that demands justice for all in the land of the free.Raised by a single mother in an impoverished neighborhood in Los Angeles, Patrisse Khan-Cullors experienced firsthand the prejudice and persecution Black Americans endure at the hands of law enforcement. For",Nonfiction,"
      When They Call You a Terrorist: A Black Lives Matter Memoir
"
