,author,description,genre,title
0,Laura Lippman,"One is playing a long game. But which one?They meet at a local tavern in the small town of Belleville, Delaware. Polly is set on heading west. Adam says he’s also passing through.Yet she stays and he stays—drawn to this mysterious redhead whose quiet stillness both unnerves and excites him. Over the course of a punishing summer, Polly and Adam abandon themselves to a steamy, inexorable affair. Still, each holds something back from the other—dangerous, even lethal, secrets that begin to accumulate as autumn approaches, feeding the growing doubts they conceal.Then someone dies. Was it an accident, or part of a plan? By now, Adam and Polly are so ensnared in each other’s lives and lies that neither one knows how to get away—or even if they want to. Is their love strong enough to withstand the truth, or will it ultimately destroy them?Something—or someone—has to give.Which one will it be?",Mystery,      Sunburn
1,Stuart  Turton,"How do you stop a murder that’s already happened?At a gala party thrown by her parents, Evelyn Hardcastle will be killed--again. She's been murdered hundreds of times, and each day, Aiden Bishop is too late to save her. Doomed to repeat the same day over and over, Aiden's only escape is to solve Evelyn Hardcastle's murder and conquer the shadows of an enemy he struggles to even comprehend--but nothing and no one are quite what they seem.Deeply atmospheric and ingeniously plotted, The Seven Deaths of Evelyn Hardcastle is a highly original debut that will appeal to fans of Kate Atkinson and Agatha Christie.",Mystery,      The Seven Deaths of Evelyn Hardcastle
2,Dana  Mele,"Kay Donovan may have skeletons in her closet, but the past is past, and she's reinvented herself entirely. Now she's a star soccer player whose group of gorgeous friends run their private school with effortless popularity and acerbic wit. But when a girl's body is found in the lake, Kay's carefully constructed life begins to topple. The dead girl has left Kay a computer-coded scavenger hunt, which, as it unravels, begins to implicate suspect after suspect, until Kay herself is in the crosshairs of a murder investigation. But if Kay's finally backed into a corner, she'll do what it takes to survive. Because at Bates Academy, the truth is something you make...not something that happened.",Young Adult,      People Like Us
3,Lexie Elliott,"They were six university students from Oxford--friends and sometimes more than friends--spending an idyllic week together in a French farmhouse. It was supposed to be the perfect summer getaway--until they met Severine, the girl next door. For Kate Channing, Severine was an unwelcome presence, her inscrutable beauty undermining the close-knit group's loyalties amid the already simmering tensions. And after a huge altercation on the last night of the holiday, Kate knew nothing would ever be the same. There are some things you can't forgive, and there are some people you can't forget, like Severine, who was never seen again. Now, a decade later, the case is reopened when Severine's body is found in the well behind the farmhouse. Questioned along with her friends, Kate stands to lose everything she's worked so hard to achieve as suspicion mounts around her. Desperate to resolve her own shifting memories and fearful she will be forever bound to the woman whose presence still haunts her, Kate finds herself buried under layers of deception with no one to set her free.",Mystery,      The French Girl
4,Jason  Matthews,"In the final, thrilling installment of the Red Sparrow Trilogy, Russian counterintelligence chief Dominika Egorova and her lover, CIA agent Nate Nash, must find a Russian agent about to be appointed to a very high office in the US government.With a plot ripped from tomorrow’s headlines, Jason Matthews’s high-powered, seductive third novel not only continues the dangerous entanglements of Dominika and Nate but reveals with chilling authenticity how Russian espionage can place agents in the most sensitive positions of power. The novel opens with Russian president Vladimir Putin planning the covert assassination of a high-ranking US official with the intention of replacing him with a mole whom Russian intelligence has cultivated for more than fifteen years.Catching wind of this plot, Dominika, Nate, and their CIA colleagues must unmask the traitor before he or she is able to reveal that Dominika has been spying for years on behalf of the CIA. Any leak, any misstep, will expose her as a CIA asset and result in a one-way trip to a Moscow execution cellar. Along the way, Matthews, a thirty-three-year veteran of the CIA and winner of the Edgar Award for Best First Novel, sets vivid, unforgettable scenes in Moscow; Washington, DC; Hong Kong; New York; the Sudan; and Turkey, and introduces two cold-blooded killers: Iosip Blokhin, a brilliant Spetsnaz military officer, and Grace Gao, ravishing Chinese spy, master of Kundalini yoga, and Beijing-trained seductress.Ultimately, the lines of danger converge on the spectacular billion-dollar presidential palace on the Black Sea during a power weekend with Putin’s inner circle. Does Nate sacrifice himself to save Dominika? Does she forfeit herself to protect Nate? Do they go down together?This dazzling finale to Jason Matthews’s New York Times bestselling Red Sparrow Trilogy, called “a primer in twenty-first-century spying...terrifically good” (The New York Times Book Review), confirms the critical acclaim he received for the first two novels, praise that compared Matthews to John le Carré and Ian Fleming. The Kremlin’s Candidate will be published just before the 2018 release of Red Sparrow, a major motion picture starring Jennifer Lawrence, produced by 20th Century Fox.",Fiction,"      The Kremlin's Candidate
      
          (Red Sparrow Trilogy #3)"
5,Kelley Armstrong,"When Casey Duncan first arrived at Rockton, the off-the-grid, isolated community built as a haven for people running from their pasts, she had no idea what to expect. There are no cell phones, no internet, no mail, and no way of getting in or out without the town council's approval. She certainly didn't expect to become the town homicide detective. But, the very last thing she expected was for the council to drop a dangerous criminal into their midst without a plan to keep him imprisoned. And she never thought that she'd have to be responsible for him. The longer Oliver Brady stays in town, the more people seem to die around him. When evidence begins piling up that someone inside Rockton is working as his accomplice, Casey races to figure out who exactly Brady is and what crimes he's truly responsible for committing.",Mystery,"      This Fallen Prey
      
          (Rockton #3)"
6,Tom Sweterlitsch,"
Inception meets True Detective in this science-fiction thriller of spellbinding tension and staggering scope. The Gone World follows a special agent into a savage murder case with grave implications for the fate of mankind. 
Shannon Moss is part of a clandestine division within the Naval Criminal Investigative Service. In Western Pennsylvania, 1997, she is assigned to solve the murder of a Navy SEAL's family--and to locate his teenage daughter, who has disappeared. Though she can't share the information with conventional law enforcement, Moss discovers that the missing SEAL was an astronaut aboard the spaceship U.S.S. Libra--a ship assumed lost to the darkest currents of Deep Time. Moss knows first-hand the mental trauma of time-travel and believes the SEAL's experience with the future has triggered this violence. Determined to find the missing girl and driven by a troubling connection from her own past, Moss travels ahead in time to explore possible versions of the future, seeking evidence or insight that will crack the present-day case. To her horror, the future reveals that it's not only the fate of a family that hinges on her work, for what she witnesses rising over time's horizon and hurtling toward the present is the Terminus: the terrifying and cataclysmic end of humanity itself.Luminous and unsettling, The Gone World bristles with world-shattering ideas yet remains at its heart an intensely human story.",Science Fiction,      The Gone World
7,Cynthia Swanson,"“[A] triumph. Swanson is a name to be considered among the likes of Gillian Flynn, Chris Pavone, and Laura Lippman” (Library Journal, starred review).From the New York Times bestselling author of The Bookseller comes a gripping literary suspense novel set in the 1960s about a deeply troubled family and three women who will reveal its dark truths.In the autumn of 1960, Angie Glass is living an idyllic life in her Wisconsin hometown. At twenty-one, she’s married to charming, handsome Paul, and has just given birth to a baby boy. But one phone call changes her life forever.When Paul’s niece, Ruby, reports that her father, Henry, has committed suicide, and that her mother, Silja, is missing, Angie and Paul drop everything and fly to the small upstate town of Stonekill, New York to be by Ruby’s side.Angie thinks they’re coming to the rescue of Paul’s grief-stricken young niece, but Ruby is a composed and enigmatic seventeen-year-old who resists Angie’s attempts to nurture her. As Angie learns more about the complicated Glass family, staying in Henry and Silja’s eerie and ultra-modern house on the edge of the woods, she begins to question the very fabric of her own marriage.Through Silja’s flashbacks, Angie’s discovery of astonishing truths, and Ruby’s strategic dissection of her parents’ state of affairs, a story of love, secrets, and ultimate betrayal is revealed.",Mystery,      The Glass Forest
8,Courtney Alameda,"Set against a future of marauding space scavengers and deadly aliens who kill with sound, here is a frightening, fast-paced YA adventure from the author of the acclaimed horror novel, Shutter.Tuck has been in stasis on the USS John Muir, a ship that houses Earth’s most valued artifacts—its natural resources. Parks and mountains are preserved in space. Laura belongs to a shipraiding family, who are funded by a group used to getting what they want. And they want what’s on the Muir. Tuck and Laura didn’t bargain on working together, or battling mutant aliens who use sound to kill. But their plan is the only hope for their crews, their families, and themselves. In space, nobody can hear you scream . . . but on the John Muir, the screams are the last thing you'll hear.",Young Adult,      Pitch Dark
9,Tiffany Reisz,"They called themselves “the lucky ones.” They were seven children either orphaned or abandoned by their parents and chosen by legendary philanthropist and brain surgeon Dr. Vincent Capello to live in The Dragon, his almost magical beach house on the Oregon Coast. Allison was the youngest of the lucky ones living an idyllic life with her newfound family…until the night she almost died, and was then whisked away from the house and her adopted family forever.Now, thirteen years later, Allison receives a letter from Roland, Dr. Capello’s oldest son, warning her that their father is ill and in his final days. Allison determines she must go home again and confront the ghosts of her past. She's determined to find out what really happened that fateful night--was it an accident or, as she's always suspected, did one of her beloved family members try to kill her?But digging into the past can reveal horrific truths, and when Allison pieces together the story of her life, she'll learns the terrible secret at the heart of the family she once loved but never really knew.A vivid and suspenseful tale of family, grief, love—and the dark secrets that bind everything together—Tiffany Reisz’s latest is enthralling to the final page.",Mystery,      The Lucky Ones
